"Name","Province","Climate ID","Station ID","WMO ID","TC ID","Latitude (Decimal Degrees)","Longitude (Decimal Degrees)","Latitude","Longitude","Elevation (m)","First Year","Last Year","HLY First Year","HLY Last Year","DLY First Year","DLY Last Year","MLY First Year","MLY Last Year"
"BERNY","ALBERTA","3060633","2480","","","54.75","-112.35","544500000","-1122100000","579.1","1981","1981","","","1981","1981","1981","1981"
"BIRCH MOUNTAIN LO","ALBERTA","3060700","2481","","","57.72","-111.85","574300000","-1115100000","853.4","1960","2011","","","1960","2011","1960","2007"
"BITUMONT LO","ALBERTA","3060705","2482","","","57.37","-111.53","572200000","-1113200000","348.7","1962","2008","","","1962","2008","1962","2007"
"BOVINE CREEK AFS","ALBERTA","3060756","27037","","","56.11","-112.55","560628000","-1123258000","518","1995","2011","","","1995","2011","1995","2007"
"BOYLE","ALBERTA","3060780","2483","","","54.57","-112.87","543400000","-1125200000","670.6","1956","1958","","","1956","1958","1956","1958"
"BRIGHTWOOD","ALBERTA","3060832","2484","","","53.5","-114.93","533000000","-1145600000","792.5","1965","1973","","","1965","1973","1965","1973"
"BRULE BLACK CAT","ALBERTA","3060903","2485","","","53.35","-117.87","532100000","-1175200000","1036.3","1985","2021","","","1985","2021","1985","2007"
"BUCKTON LO","ALBERTA","3060922","2486","","","57.87","-112.1","575200000","-1120600000","792.5","1965","2010","","","1965","2010","1965","2007"
"ATHABASCA 1","ALBERTA","3060L20","2459","","","54.72","-113.29","544320003","-1131717007","514.7","1986","2020","","","1986","2020","1986","2007"
"CALLING LAKE RS","ALBERTA","3061117","2489","","","55.25","-113.18","551500000","-1131100000","598","1962","2011","","","1962","2011","1962","2007"
"CAMPSIE","ALBERTA","3061200","2490","","","54.13","-114.68","540756002","-1144040004","670.6","1910","2013","","","1910","2013","1910","2007"
"CAMPSIE AUTO","ALBERTA","3061201","51899","71636","PZC","54.13","-114.68","540750041","-1144039055","647","2013","2021","2013","2021","2013","2021","",""
"CARROT CREEK","ALBERTA","3061350","53918","","PCF","53.62","-115.89","533723030","-1155337070","861","2015","2021","2015","2021","2018","2021","",""
"CARROT CREEK","ALBERTA","3061355","2491","","","53.62","-115.8","533700000","-1154800000","853.1","1980","1987","","","1980","1987","1980","1987"
"CARROT CREEK LO","ALBERTA","3061360","2492","","","53.45","-115.87","532700000","-1155200000","1043.9","1939","2011","","","1939","2011","1939","2007"
"CHISHOLM LO","ALBERTA","3061570","2493","","","54.93","-114.03","545600000","-1140200000","676.7","1959","2011","","","1959","2011","1959","2007"
"CHISHOLM MILLS","ALBERTA","3061571","2494","","","54.92","-114.2","545500000","-1141200000","579.1","1973","1973","","","1973","1973","1973","1973"
"CHRISTINA LO","ALBERTA","3061580","2495","","","55.58","-111.85","553500000","-1115100000","823","1966","2002","","","1966","2002","1967","2002"
"CHRISTINA LAKE","ALBERTA","3061600","46927","","","55.63","-110.83","553800000","-1105000000","370","2007","2007","","","2007","2007","2007","2007"
"COALSPUR","ALBERTA","3061674","2496","","","53.18","-117","531100000","-1170000000","1173.5","1913","1938","","","1913","1938","1913","1938"
"COAL VALLEY","ALBERTA","3061675","2497","","","53.08","-116.82","530500000","-1164900000","1405.7","1980","1986","","","1980","1986","1980","1986"
"COLD CREEK RS","ALBERTA","3061679","2498","","","53.62","-115.58","533700000","-1153500000","792.5","1962","1990","","","1962","1990","1962","1990"
"COLINTON","ALBERTA","3061728","6859","","","54.63","-113.22","543800000","-1131300000","602.3","1992","2005","","","1992","2005","1992","2005"
"CONKLIN","ALBERTA","3061795","2499","","","55.68","-111.1","554100000","-1110600000","541","1972","1975","","","1972","1975","1973","1975"
"CONKLIN LO","ALBERTA","3061800","2500","","","55.62","-111.18","553700000","-1111100000","670.6","1954","2011","","","1954","2011","1954","2007"
"COWPAR LO","ALBERTA","3061930","2502","","","55.83","-110.38","555000000","-1102300000","563.3","1957","2011","","","1957","2011","1957","2007"
"DAPP AGDM","ALBERTA","3061975","31414","71340","XDP","54.32","-113.95","541900000","-1135700000","614.2","1990","2021","1990","2021","2001","2021","2001","2007"
"CROSS LAKE","ALBERTA","30619E0","2501","","","54.63","-113.91","543758009","-1135449005","655.3","1973","2008","","","1973","2008","1973","2007"
"CROSS LAKE RS","ALBERTA","3061R50","2487","","","54.67","-113.82","544000000","-1134900000","670.6","1978","1986","","","1978","1986","1978","1986"
"DAPP","ALBERTA","3061R54","2488","","","54.35","-113.92","542100000","-1135500000","614.2","1969","1974","","","1969","1974","1969","1974"
"DEER MOUNTAIN LO","ALBERTA","3062020","2503","","","54.92","-115.15","545500000","-1150900000","1121.7","1960","2011","","","1960","2011","1960","2007"
"DUNKIRK L3","ALBERTA","3062146","27740","","","56.77","-112.48","564600000","-1122900000","488","2003","2004","","","2003","2004","2003","2003"
"EAGLE LO","ALBERTA","3062150","2504","","","54.47","-116.42","542800000","-1162500000","1042.4","1958","2011","","","1958","2011","1958","2007"
"EDSON","ALBERTA","3062239","48948","71167","YET","53.58","-116.47","533444000","-1162754000","926.9","2010","2021","2010","2021","2010","2021","",""
"EDSON","ALBERTA","3062240","2505","","","53.58","-116.42","533500000","-1162500000","922.6","1914","1960","","","1914","1960","1914","1960"
"EDSON","ALBERTA","3062241","2506","","","53.58","-116.42","533500000","-1162500000","924.5","1960","1970","1960","1970","1960","1970","1960","1970"
"EDSON A","ALBERTA","3062242","10793","71881","YET","53.6","-116.48","533542000","-1162851000","925.4","1992","2007","1994","2006","1992","2007","1997","2007"
"EDSON A","ALBERTA","3062244","2507","","","53.58","-116.47","533500000","-1162800000","927.2","1970","1999","1970","1999","1970","1998","1970","1998"
"EDSON AWOS A","ALBERTA","3062245","31588","71881","PDS","53.58","-116.47","533444000","-1162754000","926.9","2006","2011","2006","2011","2006","2010","",""
"EDSON CLIMATE","ALBERTA","3062246","27213","71156","ZZJ","53.58","-116.45","533449007","-1162712007","927","1996","2021","1996","2021","1996","2021","1996","2007"
"ELLS LO","ALBERTA","3062300","2508","","","57.18","-112.33","571100000","-1122000000","573","1961","2011","","","1961","2011","1961","2007"
"EMBARRAS A","ALBERTA","3062360","2509","","","58.2","-111.38","581200000","-1112300000","236.2","1943","1962","1953","1962","1943","1962","1943","1962"
"ENILDA-BERG","ALBERTA","3062427","27333","","","55.42","-116.3","552500000","-1161800000","590.6","1997","2005","","","1997","2005","1997","2005"
"ENILDA LO","ALBERTA","3062430","2510","","","55.32","-116.2","551900000","-1161200000","731.5","1970","2011","","","1970","2011","1970","2007"
"ENTRANCE","ALBERTA","3062440","2511","","","53.37","-117.7","532200000","-1174200000","990.6","1917","2006","","","1917","2006","1917","2006"
"ENTRANCE RS","ALBERTA","3062445","2512","","","53.37","-117.72","532200000","-1174300000","983","1968","1971","","","1968","1971","1968","1971"
"ENTWISTLE","ALBERTA","3062451","2513","","","53.6","-114.98","533600000","-1145900000","780.3","1987","2021","","","1987","2021","1987","2007"
"EVANSBURG AGCM","ALBERTA","3062475","47072","71481","PEB","53.57","-115.12","533423007","-1150725001","819","2008","2016","2008","2015","2008","2016","",""
"EVANSBURG2 AGCM","ALBERTA","3062476","54358","71481","PNB","53.61","-115.06","533650000","-1150344089","785","2016","2021","2016","2021","2016","2021","",""
"EVANSBURG CDA EPF","ALBERTA","3062480","2514","","","53.63","-115","533800000","-1150000000","792.5","1954","1964","","","1962","1964","1954","1964"
"FLATTOP LO","ALBERTA","3062630","2515","","","55.15","-114.8","550900000","-1144800000","1030.2","1959","2011","","","1959","2011","1959","2007"
"FORT ASSINIBOINE RS","ALBERTA","3062654","2516","","","54.35","-114.8","542100000","-1144800000","609.6","1963","1965","","","1963","1965","1963","1965"
"FORT ASSINIBOINE RS","ALBERTA","3062655","2517","","","54.37","-114.92","542200000","-1145500000","670","1983","2008","","","1983","2008","1983","2007"
"FORT ASSINIBOINE 2","ALBERTA","3062656","27331","","","54.35","-114.83","542100000","-1145000000","627.3","1997","2008","","","1997","2008","1997","2007"
"FORT ASSINIBOINE AGCM","ALBERTA","3062660","47128","71483","PFB","54.41","-114.77","542437005","-1144609005","676","2008","2021","2008","2021","2008","2021","",""
"FORT MACKAY RS","ALBERTA","3062675","2518","","","57.18","-111.62","571100000","-1113700000","234.7","1964","1994","","","1964","1994","1964","1994"
"FORT MCMURRAY A","ALBERTA","3062693","2519","","","56.65","-111.22","563900000","-1111300000","369.1","1944","2008","1953","2008","1944","2008","1944","2007"
"FT MCMURRAY","ALBERTA","3062695","2520","","","56.73","-111.38","564400000","-1112300000","252.7","1908","1944","","","1908","1944","1908","1944"
"FORT MCMURRAY CS","ALBERTA","3062696","27216","71585","XMM","56.65","-111.21","563904000","-1111248000","368.8","1996","2021","1999","2021","1996","2021","1996","2007"
"FORT MCMURRAY A","ALBERTA","3062697","49490","71689","YMM","56.65","-111.22","563912000","-1111324000","369.1","2011","2021","2011","2021","2011","2021","",""
"FORT MCMURRAY AWOS A","ALBERTA","3062700","31288","","","56.65","-111.22","563912000","-1111324000","369.1","2008","2011","2008","2011","2008","2011","",""
"GOOSE MOUNTAIN LO","ALBERTA","3062880","2521","","","54.75","-116.07","544500000","-1160400000","1402.1","1945","2011","","","1945","2011","1945","2007"
"GORDON LAKE LO","ALBERTA","3062889","2522","","","56.62","-110.5","563703000","-1103000000","515","1964","2011","","","1964","2011","1964","2007"
"GRANDE LO","ALBERTA","3062905","2523","","","56.3","-112.22","561800000","-1121300000","533.4","1965","2011","","","1965","2011","1966","2007"
"GROSMONT","ALBERTA","3062957","2524","","","54.87","-113.57","545200000","-1133400000","640.1","1964","1975","","","1964","1975","1964","1975"
"GROUARD","ALBERTA","3062965","2525","","","55.58","-116.15","553500000","-1160900000","579.1","1909","1945","","","1909","1945","1909","1945"
"GROUARD","ALBERTA","3062966","2526","","","55.57","-116.15","553400000","-1160900000","609.6","1960","1960","","","1960","1960","1960","1960"
"GROUND ZERO AFS","ALBERTA","3062968","27038","","","55.02","-110.62","550102000","-1103708000","737","1995","2011","","","1995","2011","1995","2007"
"HAY RIVER RS","ALBERTA","3063075","2527","","","53.62","-117.7","533700000","-1174200000","1158.2","1964","1965","","","1964","1965","1964","1965"
"HEART LAKE LO","ALBERTA","3063120","2528","","","55","-111.33","550000000","-1112000000","887","1947","2011","","","1947","2011","1947","2007"
"HELDAR","ALBERTA","3063130","2529","","","54.02","-115","540100000","-1150000000","701","1923","1944","","","1923","1944","1923","1944"
"HENDRICKSON CREEK","ALBERTA","3063135","26870","71979","WPA","53.8","-118.45","534742001","-1182648005","1448","1995","2021","1995","2021","1995","2021","1998","2007"
"HIGH PRAIRIE","ALBERTA","3063160","2530","","","55.43","-116.52","552600000","-1163100000","594.4","1926","1977","","","1926","1977","1926","1977"
"HIGH PRAIRIE A","ALBERTA","3063162","2531","","","55.4","-116.48","552400000","-1162900000","601.7","1980","1995","","","1980","1995","1980","1995"
"HIGH PRAIRIE AGDM","ALBERTA","3063165","32274","71226","XHP","55.4","-116.48","552345001","-1162846008","601.7","2002","2021","2002","2021","2002","2021","2002","2007"
"HIGH PRAIRIE CDA EPF","ALBERTA","3063176","2532","","","55.43","-116.47","552600000","-1162800000","599.8","1953","1962","","","1953","1962","1953","1962"
"HIGH PRAIRIE NORTH","ALBERTA","3063178","44266","","","55.49","-116.46","552924000","-1162729001","591","2005","2011","","","2005","2011","2005","2007"
"HIGH PRAIRIE RS","ALBERTA","3063180","2533","","","55.43","-116.5","552600000","-1163000000","596.8","1968","1970","","","1968","1970","1968","1970"
"HIGHWAY","ALBERTA","3063248","2534","","","53.92","-115.53","535500000","-1153200000","823","1969","1999","","","1969","1999","1969","1999"
"HINTON","ALBERTA","3063340","2535","","","53.42","-117.57","532500000","-1173400000","1013.5","1956","1976","","","1956","1976","1956","1976"
"HINTON FTS","ALBERTA","3063342","2536","","","53.4","-117.58","532400000","-1173500000","1021.1","1964","1980","","","1964","1980","1964","1980"
"HOUSE MOUNTAIN LO","ALBERTA","3063347","2537","","","55.03","-115.62","550200000","-1153700000","1152.1","1960","2011","","","1960","2011","1960","2007"
"HUCKLEBERRY LO","ALBERTA","3063354","2538","","","53.98","-118.18","535900000","-1181100000","1428.9","1958","2011","","","1958","2011","1958","2007"
"IMPERIAL LO","ALBERTA","3063433","2539","","","54.47","-115.57","542800000","-1153400000","1188.7","1975","2011","","","1975","2011","1975","2007"
"JARVIE","ALBERTA","3063516","2540","","","54.47","-113.98","542800000","-1135900000","612.6","1969","1970","","","1969","1970","1969","1970"
"JARVIE HAMLET","ALBERTA","3063517","2541","","","54.45","-113.98","542700000","-1135900000","613","1980","1992","","","1980","1992","1980","1992"
"JARVIS LAKE","ALBERTA","3063518","27016","","","53.45","-117.82","532700000","-1174900000","1158","1995","2001","","","1995","2001","1995","2001"
"JASPER EAST GATE","ALBERTA","3063523","2542","","","53.23","-117.82","531400000","-1174900000","1002.8","1971","2008","","","1971","2008","1971","2007"
"JASPER-HINTON","ALBERTA","3063526","2543","","","53.32","-117.75","531900000","-1174500000","1227.1","1972","2007","","","1972","2007","1972","2006"
"JOHNSON LAKE LO","ALBERTA","3063563","2544","","","57.58","-110.33","573500000","-1102000000","548.6","1965","2011","","","1965","2011","1965","2007"
"ISLAND LAKE SOUTH","ALBERTA","3063600","53358","71654","PII","54.82","-113.54","544915059","-1133236096","618.7","2015","2021","2015","2021","2015","2021","",""
"KAYBOB 3","ALBERTA","3063620","2545","","","54.11","-116.63","540650000","-1163752002","1002.8","1973","2011","","","1973","2011","1973","2007"
"KEANE LO","ALBERTA","3063630","2546","","","58.32","-110.28","581900000","-1101700000","457.2","1961","2004","","","1961","2004","1961","2003"
"KINIKINIK","ALBERTA","3063640","53999","","PKK","54.56","-112.98","543347070","-1125852020","629","2015","2021","2015","2021","2018","2021","",""
"KINUSO RS","ALBERTA","3063646","2547","","","55.33","-115.42","552000000","-1152500000","589.8","1927","1996","","","1927","1996","1927","1996"
"LAC LA BICHE","ALBERTA","3063680","2548","","","54.77","-111.97","544600000","-1115800000","559.3","1944","1959","1953","1958","1944","1959","1944","1959"
"LAC LA BICHE A","ALBERTA","3063684","2549","","","54.77","-112.02","544600000","-1120100000","565.1","1972","1981","","","1972","1981","1972","1981"
"LAC LA BICHE (AUT)","ALBERTA","3063685","2550","","","54.77","-112.02","544600000","-1120100000","567","1958","2004","1958","2004","1958","2003","1958","2003"
"LAC LA BICHE CLIMATE","ALBERTA","3063686","30726","71316","WLB","54.77","-112.02","544608000","-1120125000","567","2001","2021","2003","2021","2001","2021","2001","2007"
"LAC LA BICHE RS","ALBERTA","3063690","2551","","","54.77","-112.97","544600000","-1125800000","562.4","1972","1978","","","1972","1978","1972","1978"
"LINARIA","ALBERTA","3063910","2552","","","54.3","-114.17","541800000","-1141000000","640.1","1970","1980","","","1970","1980","1970","1980"
"LIVOCK LO","ALBERTA","3063930","2553","","","56.47","-113.18","562800000","-1131100000","579.1","1965","2011","","","1965","2011","1966","2007"
"LODGEPOLE RS","ALBERTA","3063977","2554","","","53.12","-115.32","530700000","-1151900000","914.4","1969","1969","","","1969","1969","1969","1969"
"LONE PINE","ALBERTA","3063981","2555","","","54.28","-115.12","541700000","-1150700000","731.5","1972","1973","","","1972","1973","1972","1973"
"LITTLE PADDLE HEADWATERS","ALBERTA","3063R2L","8884","","","54.02","-115.5","540100000","-1153000000","885.1","1999","2007","","","1999","2007","1999","2007"
"LOVETT LO","ALBERTA","3064040","2556","","","53.08","-116.68","530500000","-1164100000","1444.8","1939","2011","","","1939","2011","1939","2007"
"LUNNFORD","ALBERTA","3064085","2557","","","54.07","-114.32","540400000","-1141900000","640.1","1970","1974","","","1970","1974","1970","1974"
"MAGNOLIA","ALBERTA","3064157","2558","","","53.58","-114.88","533500000","-1145300000","755","1965","1982","","","1965","1982","1965","1982"
"MANOLA","ALBERTA","3064190","2559","","","54.12","-114.25","540700000","-1141500000","640.1","1969","1970","","","1969","1970","1969","1970"
"MARIANA LAKES","ALBERTA","3064209","2560","","","55.95","-112.03","555700000","-1120200000","692.5","1973","1974","","","1973","1974","1973","1974"
"MARTEN HILLS AFS","ALBERTA","3064219","27262","","","55.54","-114.56","553235000","-1143325000","1000","1996","2011","","","1996","2011","1996","2007"
"MARTEN MOUNTAIN LO","ALBERTA","3064220","2561","","","55.5","-114.7","553000000","-1144200000","1021.1","1958","2011","","","1958","2011","1958","2007"
"MAYBERNE LO","ALBERTA","3064240","2562","","","53.87","-116.67","535200000","-1164000000","1490.5","1939","2011","","","1939","2011","1939","2007"
"MAYERTHORPE","ALBERTA","3064282","2563","","","53.97","-115.12","535800000","-1150700000","713.2","1977","1983","","","1977","1983","1977","1983"
"MAYERTHORPE 2","ALBERTA","3064284","8888","","","53.85","-115.35","535100000","-1152100000","731.5","2004","2005","","","2004","2005","2004","2005"
"MAY LO","ALBERTA","3064300","2564","","","55.62","-112.35","553700000","-1122100000","896.1","1957","2011","","","1957","2011","1957","2007"
"MEANOOK","ALBERTA","3064400","2565","","","54.62","-113.35","543700000","-1132100000","684","1917","1976","","","1917","1976","1917","1976"
"MEDICINE LODGE RS","ALBERTA","3064490","2566","","","53.55","-117","533300000","-1170000000","944.9","1962","1975","","","1962","1972","1962","1975"
"MERIDIAN LO","ALBERTA","3064515","2567","","","55.55","-114.18","553300000","-1141100000","1005.8","1964","2011","","","1964","2011","1964","2007"
"MILDRED LAKE","ALBERTA","3064528","10978","71255","WMX","57.04","-111.56","570228000","-1113332000","310","1993","2021","1994","2021","1993","2021","1994","2007"
"MILDRED LAKE","ALBERTA","3064531","2568","","","57.08","-111.58","570500000","-1113500000","310.3","1973","1996","","","1973","1996","1973","1996"
"MILDRED LAKE SYNCRUDE","ALBERTA","3064532","29693","","","57.03","-111.57","570200000","-1113400000","310","1994","2003","","","1994","2003","1994","2003"
"MIRROR LANDING RS","ALBERTA","3064580","2569","","","55.18","-114.05","551100000","-1140300000","579.1","1962","1964","","","1962","1964","1962","1964"
"MOBERLY LO","ALBERTA","3064587","2570","","","53.55","-118.03","533300000","-1180200000","1647.1","1967","2011","","","1967","2011","1967","2007"
"MOON LAKE","ALBERTA","3064640","2571","","","53.47","-114.98","532800000","-1145900000","762","1952","1967","","","1952","1967","1952","1967"
"MOOSE WALLOW","ALBERTA","3064657","2572","","","54.23","-115.02","541400000","-1150100000","633.1","1980","2007","","","1980","2007","1980","2007"
"MUSKEG LO","ALBERTA","3064740","2573","","","57.13","-110.9","570800000","-1105400000","652.3","1959","2011","","","1959","2011","1959","2007"
"NARROW LAKES LO","ALBERTA","3064776","2574","","","54.57","-113.68","543400000","-1134100000","731.5","1972","1977","","","1972","1977","1972","1977"
"NITON JUNCTION CDA EPF","ALBERTA","3064810","2575","","","53.6","-115.7","533600000","-1154200000","838.2","1967","1974","","","1967","1974","1967","1974"
"OBED","ALBERTA","3064908","2576","","","53.55","-117.22","533300000","-1171300000","1088.1","1970","1972","","","1970","1972","1970","1972"
"OBED LO","ALBERTA","3064910","2577","","","53.57","-117.5","533400000","-1173000000","1585","1958","2011","","","1958","2011","1959","2007"
"PADDLE RIVER","ALBERTA","3064964","2578","","","54.03","-114.75","540200000","-1144500000","655.3","1978","2006","","","1978","2006","1978","2006"
"PADDLE RIVER 764","ALBERTA","3064966","27828","","","54.05","-114.67","540254000","-1144012000","660","1999","2007","","","1999","2007","2003","2005"
"PASS CREEK LO","ALBERTA","3065000","2580","","","54.23","-116.83","541400000","-1165000000","1135.4","1954","2011","","","1954","2011","1954","2007"
"PEAVINE","ALBERTA","3065080","2581","","","54.07","-114.92","540400000","-1145500000","694.6","1944","1969","","","1944","1969","1944","1969"
"PELICAN MOUNTAIN LO","ALBERTA","3065160","2582","","","55.62","-113.57","553700000","-1133400000","914.4","1952","1976","","","1952","1976","1952","1976"
"PIBROCH","ALBERTA","3065172","2583","","","54.27","-113.97","541600000","-1135800000","609.6","1969","1973","","","1969","1973","1969","1973"
"PIMPLE LO","ALBERTA","3065180","2584","","","54.5","-115.47","543000000","-1152800000","1103.1","1956","1975","","","1956","1975","1956","1975"
"PLEASANT VIEW","ALBERTA","3065200","54000","","PPV","54.96","-113.32","545750020","-1131914080","649","2015","2021","2015","2021","2018","2021","",""
"PRIMROSE LAKE DND","ALBERTA","3065304","8893","","WIQ","54.75","-110.05","544500000","-1100300000","702","1994","2013","1994","2013","","","",""
"PRIMROSE LO","ALBERTA","3065305","2585","","","54.75","-110.05","544500000","-1100300000","678.2","1967","1992","","","1967","1992","1967","1992"
"RICH LAKE AGDM","ALBERTA","3065475","31413","71349","XRL","54.5","-111.7","543000000","-1114200000","585","1997","2021","1997","2021","2001","2021","2001","2007"
"RICHARDSON LO","ALBERTA","3065492","2586","","","57.92","-110.97","575500000","-1105800000","304.8","1960","2011","","","1960","2011","1960","2007"
"ROBB RS","ALBERTA","3065505","2587","","","53.23","-116.97","531400000","-1165800000","1130.2","1965","1996","","","1965","1996","1965","1996"
"ROCHESTER","ALBERTA","3065510","2588","","","54.4","-113.53","542400000","-1133200000","647.7","1956","1969","","","1956","1969","1956","1968"
"ROCHESTER NORTH","ALBERTA","3065512","2589","","","54.45","-113.52","542700000","-1133100000","655.3","1970","1981","","","1970","1981","1970","1981"
"ROCK ISLAND LAKE LO","ALBERTA","3065515","2590","","","55.33","-113.47","552000000","-1132800000","716.3","1977","2011","","","1977","2011","1977","2007"
"RONAN","ALBERTA","3065541","2591","","","53.88","-115.25","535300000","-1151500000","731.5","1969","2005","","","1969","2005","1969","2005"
"ROUND HILL LO","ALBERTA","3065560","2592","","","55.3","-111.98","551800000","-1115900000","749.8","1951","2011","","","1951","2011","1952","2007"
"SALTEAUX","ALBERTA","3065693","2593","","","54.87","-114.77","545200000","-1144600000","700","1989","2011","","","1989","2011","1989","2007"
"SALT PRAIRIE LO","ALBERTA","3065700","2594","","","55.67","-115.83","554000000","-1155000000","716.3","1955","2011","","","1955","2011","1955","2007"
"SALT PRAIRIE RS","ALBERTA","3065705","2595","","","55.63","-116.05","553800000","-1160300000","609.6","1966","1972","","","1966","1972","1966","1972"
"SAND RIVER LO","ALBERTA","3065710","2596","","","54.65","-110.98","543900000","-1105900000","731.5","1957","2011","","","1957","2011","1957","2007"
"ISPAS","ALBERTA","3065712","53198","","PLY","53.85","-111.84","535105000","-1115007020","655","2014","2021","2014","2021","2018","2021","",""
"SANDY LAKE LO","ALBERTA","3065715","2597","","","55.83","-113.67","555000000","-1134000000","594.4","1977","2011","","","1977","2011","1977","2007"
"SANGUDO","ALBERTA","3065720","2598","","","53.9","-114.87","535400000","-1145200000","701","1953","1966","","","1953","1966","1953","1966"
"SANGUDO ROYDALE","ALBERTA","3065723","2599","","","53.95","-114.95","535700000","-1145700000","658.4","1968","1972","","","1968","1972","1968","1972"
"SANGUDO SOUTH","ALBERTA","3065725","2600","","","53.8","-114.87","534800000","-1145200000","716.3","1966","1968","","","1966","1968","1966","1968"
"SCHWARTZ CREEK","ALBERTA","3065765","2601","","","53.43","-116.52","532600000","-1163100000","958","1989","2011","","","1989","2011","1989","2007"
"SEBA LANGLEY","ALBERTA","3065792","2602","","","53.47","-114.87","532800000","-1145200000","823","1977","1978","","","1977","1978","1977","1978"
"SHELL HARTLEY RIVER","ALBERTA","3065884","2603","","","57.27","-111.47","571600000","-1112800000","737.6","1975","1976","","","1975","1976","1975","1976"
"SHINING BANK","ALBERTA","3065885","2604","","","53.85","-115.97","535100000","-1155800000","829.1","1968","2011","","","1968","2011","1968","2007"
"SHINING BANK RS","ALBERTA","3065886","2605","","","53.81","-115.94","534836000","-1155624000","914.4","1967","2009","","","1967","2009","1967","2007"
"SHOAL CREEK","ALBERTA","3065887","2606","","","54.38","-115.02","542300000","-1150100000","640","1987","1989","","","1987","1989","1987","1989"
"SLAVE LAKE","ALBERTA","3065995","49369","71369","YZH","55.29","-114.78","551735000","-1144638000","582.8","2011","2021","2011","2021","2011","2021","",""
"SLAVE LAKE RCS","ALBERTA","3065997","50777","71693","PZH","55.29","-114.78","551735000","-1144638000","582.8","2012","2021","2012","2021","2012","2021","",""
"SLAVE LAKE CR10","ALBERTA","3065998","27219","","","55.3","-114.78","551747080","-1144702090","583","1996","2007","","","1996","2007","1996","2007"
"SLAVE LAKE A","ALBERTA","3065999","10864","","","55.28","-114.78","551700000","-1144700000","582.8","1992","2007","1994","2006","1992","2007","1994","2007"
"PINEDALE","ALBERTA","3065B2A","2579","","","53.57","-116.1","533400000","-1160600000","944.9","1980","1983","","","1980","1983","1980","1983"
"SLAVE LAKE","ALBERTA","3066000","2607","","","55.28","-114.77","551700000","-1144600000","585.2","1922","1962","","","1922","1962","1922","1962"
"SLAVE LAKE A","ALBERTA","3066001","2608","","","55.3","-114.78","551800000","-1144700000","580.6","1970","1999","1971","1999","1970","1997","1970","1997"
"SLAVE LAKE AWOS A","ALBERTA","3066002","31528","","PLV","55.29","-114.78","551735000","-1144638000","582.78","2006","2014","2006","2014","2006","2014","",""
"SLAVE LAKE HQTRS","ALBERTA","3066003","2609","","","55.28","-114.63","551700000","-1143800000","585.8","1965","1970","","","1965","1970","1965","1970"
"SMITH","ALBERTA","3066017","2610","","","55.17","-114","551000000","-1140000000","","1962","1966","","","1962","1966","1962","1966"
"SMITH RS","ALBERTA","3066018","2611","","","55.17","-114.03","551000000","-1140200000","564.5","1965","1989","","","1965","1989","1965","1989"
"STONEY MOUNTAIN","ALBERTA","3066155","2612","","","56.38","-111.27","562300000","-1111600000","779.7","1958","1963","","","1958","1963","1958","1963"
"STONEY MOUNTAIN LO","ALBERTA","3066160","2613","","","56.38","-111.23","562300000","-1111400000","762","1954","2011","","","1954","2011","1954","2007"
"SWAN DIVE LO","ALBERTA","3066280","2614","","","54.73","-115.22","544400000","-1151300000","1272.2","1952","2011","","","1952","2011","1952","2007"
"SWAN HILLS","ALBERTA","3066296","2615","","","54.73","-115.48","544400000","-1152900000","1264.9","1960","1960","","","1960","1960","1960","1960"
"SWAN HILLS","ALBERTA","3066297","2616","","","54.67","-115.42","544000000","-1152500000","1058.6","1985","1995","","","1985","1995","1985","1995"
"SWAN HILLS RS","ALBERTA","3066298","2617","","","54.73","-115.4","544400000","-1152400000","1127.8","1965","1972","","","1965","1972","1965","1972"
"SWAN HILLS RS","ALBERTA","3066299","2618","","","54.72","-116.43","544300000","-1162600000","1127.8","1979","1980","","","1979","1980","1979","1980"
"SWITZER","ALBERTA","3066325","27970","","","53.47","-117.8","532800000","-1174800000","1261","1999","2001","","","1999","2001","1999","2001"
"TAR ISLAND","ALBERTA","3066364","2619","","","56.98","-111.45","565900000","-1112700000","239.9","1970","1984","","","1970","1984","1970","1984"
"TAWATINAW AGCM","ALBERTA","3066367","47108","71549","PTA","54.3","-113.52","541759009","-1133113001","611","2008","2021","2008","2021","2008","2021","",""
"THICKWOOD LO","ALBERTA","3066380","2620","","","56.88","-111.65","565300000","-1113900000","603.5","1957","1992","","","1957","1992","1957","1992"
"TOM HILL LO","ALBERTA","3066495","2621","","","53.93","-116.33","535600000","-1162000000","1295.4","1966","2011","","","1966","2011","1966","2007"
"TONY LO","ALBERTA","3066500","2622","","","54.38","-117.4","542300000","-1172400000","1036.3","1957","2011","","","1957","2011","1957","2007"
"VEGA","ALBERTA","3066705","2623","","","54.4","-114.38","542400000","-1142300000","670.6","1970","1982","","","1970","1982","1970","1982"
"VEGA LO","ALBERTA","3066710","2624","","","54.43","-114.43","542600000","-1142600000","708.7","1969","2011","","","1969","2011","1969","2007"
"VENICE","ALBERTA","3066770","2626","","","54.67","-112.07","544000000","-1120400000","576","1981","2008","","","1981","2008","1981","2007"
"WAGNER","ALBERTA","3066920","2627","","","55.35","-114.98","552100000","-1145900000","583.7","1944","1971","1953","1971","1944","1971","1944","1971"
